SrNo,Health Facility Name,pincode,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Unnamed: 10
19547,Sunapentha SC,758033,21.26197,85.76045,0,SubCentre,Odisha,Kendujhar,Harichandanpur P.S.,
19603,JARPADA,759127,20.88086,84.88895,0,Primary Health Centre,Odisha,Anugul  ,Jarapada ,
19605,Bagalgarh,754010,20.15613,86.09796,0,SubCentre,Odisha,Cuttack,Niali  ,
19608,Anandapur SC,756126,21.23063,86.57122,0,SubCentre,Odisha,Baleshwar,Similia P.S. ,
19644,KARANGAMAL,766111,20.15438,82.63316,0,Primary Health Centre,Odisha,Nuapada  ,Boden ,
19688,ANGARAGAON SC,761035,19.77681,85.05885,0,SubCentre,Odisha,Ganjam,KODALA ,
19714,BADGAON SC,757032,22.01419,86.51004,0,SubCentre,Odisha,Mayurbhanj,Rairangpur Town P.S.,
19745,SC Muriapally,764045,18.49,81.92,0,SubCentre,Odisha,Malkangiri  ,Malkangiri ,
19808,KESHPUR SC,761029,19.61144,85.13496,0,SubCentre,Odisha,Ganjam,KHALIKOTE ,
19862,Kahneibindha SC,756168,21.14529,86.65653,0,SubCentre,Odisha,Baleshwar,Similia P.S. ,
19889,JAMANKIRA,768107,21.54096,84.38609,0,SubCentre,Odisha,Sambalpur,Jamankira P.S.,
19901,SC Rugudipali,767029,20.58474,83.52416,0,SubCentre,Odisha,Balangir,Tushura ,
19915,DAMJHAR,766111,20.33286,82.67229,0,Primary Health Centre,Odisha,Nuapada  ,Boden ,
19918,RAMAGADA SC,761117,19.76283,84.68687,0,SubCentre,Odisha,Ganjam,BUGUDA ,
19922,MUKUNDAPRASAD,752055,20.181936,85.63986,0,Primary Health Centre,Odisha,Khordha ,Khurda Sadar ,
19936,SC Pujariguda DNK,764073,19.66417,82.07305,0,SubCentre,Odisha,Nabarangapur ,Umarkote ,
19937,Sundarpur SC,756133,20.83765,86.61071,0,SubCentre,Odisha,Bhadrak,Dhusuri P.S.,
19968,Sukraput,764028,19.03539,82.88985,0,SubCentre,Odisha,Koraput,Dasamantapur ,
19990,Sasanpada,754103,20.21372,86.14012,0,SubCentre,Odisha,Cuttack,Niali  ,
20001,Borigi,764014,0,0,0,SubCentre,Odisha,Koraput,Narayanpatana ,
20053,Rayagada SC,761213,18.9642,84.15809,0,SubCentre,Odisha,Gajapati,Garabandha,
20076,JAGANNATH PUR,759132,20.71968,84.87106,0,Primary Health Centre,Odisha,Anugul  ,Anugul ,
20153,SAPOINALI SC,759141,21.09158,84.81044,0,SubCentre,Odisha,Anugul  ,Jarapada ,
20159,KARLAMUNDA,766031,20.36736,83.46979,0,Community Health Center,Odisha,Kalahandi,Madanpur Rampur ,
20177,SIMANBADI,762104,19.98448,84.06846,0,Primary Health Centre,Odisha,Kandhamal,Daringbadi,
20182,Bedpur SC,756117,20.8655,86.4273,0,SubCentre,Odisha,Bhadrak,Dhamanagar P.S.,
20198,Puruna Tigiria,754030,20.46747,85.46997,0,SubCentre,Odisha,Cuttack,Tigiria ,
20230,Thuapadar SC,766001,19.8819,83.1777,0,SubCentre,Odisha,Kalahandi,Sadar ,
20261,SARASKANA,757051,22.24334,86.59338,0,Primary Health Centre,Odisha,Mayurbhanj,Jharpokharia P.S.,
20298,Khamankhole,762110,20.37358,83.73972,0,SubCentre,Odisha,Kandhamal,Baliguda ,
20353,Kutarimal,768221,22.10979,84.33818,0,SubCentre,Odisha,Sambalpur,Govindpur P.S.,
20362,Balabhadrapur SC,759013,20.69709,85.58218,0,SubCentre,Odisha,Dhenkanal,Dhenkanal Sadar ,
20464,Udayapur SC,761016,19.22014,84.00879,0,SubCentre,Odisha,Gajapati,Serango,
20538,SINDHIGAM,764063,19.19285,82.48247,0,SubCentre,Odisha,Nabarangapur ,Nabarangapur,
20550,Subalaya,767018,20.89695,84.16318,0,SubCentre,Odisha,Sonapur  ,Biramaharajpur ,
20637,Uchhula SC,766011,19.57599,82.71459,0,SubCentre,Odisha,Kalahandi,Jayapatna ,
20648,KULUMA SC,759105,21.09602,85.09473,0,SubCentre,Odisha,Anugul  ,Kaniha,
20703,Palna SC,766036,20.117727,83.06294,0,SubCentre,Odisha,Kalahandi,Sadar ,
20720,SC Ponduguda,764061,19.2593,82.28176,0,SubCentre,Odisha,Nabarangapur ,Kosagumuda ,
20722,Kumbhariput,764027,19.02604,83.2623,0,SubCentre,Odisha,Koraput,Bandhugaon ,
20734,SC-Jemadeipentho,765002,19.26144,83.42726,0,SubCentre,Odisha,Rayagada  ,Rayagada ,
20757,PADIABEDA SC,757038,21.57346,86.0509,0,SubCentre,Odisha,Mayurbhanj,Thakurmunda P.S.,
20782,SC AMURLA,767066,20.19883,83.17133,0,SubCentre,Odisha,Balangir,Titlagarh ,
20808,SC Banaimunda,767025,20.75248,83.12123,0,SubCentre,Odisha,Balangir,Patnagarh ,
20884,BADAKHOLI SC,761116,19.70271,84.6986,0,SubCentre,Odisha,Ganjam,ASIKA ,
20903,SC Merei,764049,19.43214,82.65269,0,SubCentre,Odisha,Nabarangapur ,Tentulikhunti ,
20926,Adamunda,765013,19.08405,83.01365,0,Primary Health Centre,Odisha,Koraput,Dasamantapur ,
20958,SC Gobardhanpur,754140,20.33813,86.41038,0,SubCentre,Odisha,Jagatsinghapur ,Paradip P.S. ,
20960,MANBIR,757045,22.270674,86.00563,0,Primary Health Centre,Odisha,Mayurbhanj,Jamda P.S.(New),
21044,Rajnagar SC,,20.92329,86.75628,0,SubCentre,Odisha,Bhadrak,Tihidi P.S.,
21048,Kabera Madhapur SC,759014,20.79059,85.73854,0,SubCentre,Odisha,Dhenkanal,Gandia ,
21057,Golapokhari SC,752063,20.25722,85.2976,0,SubCentre,Odisha,Nayagarh  ,Fategarh ,
21063,SANTHAPADA SC,759104,20.9129,85.23251,0,SubCentre,Odisha,Anugul  ,Talcher Sadar ,
21075,KRUPASINDHUPUR SC,761001,19.36158,84.77851,0,SubCentre,Odisha,Ganjam,BRAHMAPUR SADAR ,
21084,Bandhugam,764027,18.93965,83.2495,0,SubCentre,Odisha,Koraput,Bandhugaon ,
21109,SC Manguli,754111,20.32301,86.05209,0,SubCentre,Odisha,Jagatsinghapur ,Biridi P.S.(New),
21128,Laida,768214,21.73346,84.22636,0,SubCentre,Odisha,Sambalpur,Katarbaga P.S.,
21131,Sundarpal PHC,758023,21.2077,86.27258,0,Primary Health Centre,Odisha,Kendujhar,Nandipada P.S.,
21139,Poigoan,770048,21.78135,84.98758,0,SubCentre,Odisha,Sundargarh,Lahunipara P.S.,
21142,Raina Ramchandrapur SC,756032,21.77097,87.22397,0,SubCentre,Odisha,Baleshwar,Jaleswar P.S. ,
21144,Nuagoan,770035,22.39783,84.94647,0,SubCentre,Odisha,Sundargarh,Hatibari P.S.,
21155,PADMAPUR SC,761109,19.54132,84.61383,0,SubCentre,Odisha,Ganjam,SERAGAD ,
21169,Tikarpada SC,762015,20.65821,84.21745,0,SubCentre,Odisha,Baudh,Baunsuni ,
21197,NIMINA SC,761122,19.73437,84.64489,0,SubCentre,Odisha,Ganjam,ASIKA ,
21199,Chemana SC,758046,21.77278,85.77428,0,SubCentre,Odisha,Kendujhar,Patana P.S.,
21232,SC Jaganathpur,754139,20.23978,86.35421,0,SubCentre,Odisha,Jagatsinghapur ,Tirtol P.S. ,
21237,Mulligimma SC,761016,18.8836,84.28692,0,SubCentre,Odisha,Gajapati,Garabandha,
21250,SC Charamula,764070,19.26878,82.74272,0,SubCentre,Odisha,Nabarangapur ,Tentulikhunti ,
21292,SC SARABANG,766105,20.81771,82.46666,0,SubCentre,Odisha,Nuapada  ,Nuapada,
21305,Sunguda SC,754296,20.69537,86.12842,0,SubCentre,Odisha,Jajapur  ,Badachana P.S. (P),
21308,Barepanga,762101,20.01429,84.25877,0,SubCentre,Odisha,Kandhamal,Raikia ,
21314,DUMURIA SC,757036,21.8435,85.97817,0,SubCentre,Odisha,Mayurbhanj,Karanjia P.S.,
21326,Bala SC,758047,21.83821,85.75926,0,SubCentre,Odisha,Kendujhar,Champua P.S.,
21334,Badarampei SC,755009,20.83706,86.18135,0,SubCentre,Odisha,Jajapur  ,Kuakhia P.S.  (New),
21335,SUDARSANPUR,757042,22.37039,86.27862,0,SubCentre,Odisha,Mayurbhanj,Rairangpur Town P.S.,
21336,Baghuapalli SC,752077,20.22072,85.19746,0,SubCentre,Odisha,Nayagarh  ,Fategarh ,
21369,Lanjigarh,766027,19.71219,83.36369,0,Community Health Center,Odisha,Kalahandi,Lanjigarh  ,
21372,Golamunda SC,766014,19.83428,83.02827,0,SubCentre,Odisha,Kalahandi,Junagarh ,
21415,Aul,754219,20.687,86.65305,0,SubCentre,Odisha,Kendrapara ,Aali ,
21466,Badhi,754224,20.47107,86.63691,0,SubCentre,Odisha,Kendrapara ,Mahakalapada ,
21485,Ichhabatipur SC,759026,20.81306,85.59793,0,SubCentre,Odisha,Dhenkanal,Kamakshyanagar ,
21513,Jignipur,754202,20.49403,86.16508,0,SubCentre,Odisha,Cuttack,Nemalo ,
21532,KALAMA,757028,21.60277,86.93701,0,SubCentre,Odisha,Mayurbhanj,Baisinga P.S.,
21534,DUMERPALI,768029,21.30781,83.35752,0,SubCentre,Odisha,Bargarh,Melchhamunda,
21556,SAIPALI,768032,21.08332,83.45039,0,Primary Health Centre,Odisha,Bargarh,Bijepur,
21573,Kadabarang PHC(N),756115,21.14466,86.39944,0,Primary Health Centre,Odisha,Bhadrak,Bhadrak Rural P.S. ,
21581,KUMBHIKOTA,765002,19.11615,83.25191,0,Primary Health Centre,Odisha,Rayagada  ,Rayagada ,
21621,Sahajpal SC,762015,20.66133,84.1569,0,SubCentre,Odisha,Baudh,Baunsuni ,
21626,DERENGA SC,759117,21.12719,84.99924,0,SubCentre,Odisha,Anugul  ,Kaniha,
21658,Utukuda SC,756132,20.82639,86.78251,0,SubCentre,Odisha,Bhadrak,Dhusuri P.S.,
21725,Rangathali SC,759146,21.02747,85.2867,0,SubCentre,Odisha,Dhenkanal,Parajang ,
21774,ANCHALGUMMA,764049,19.32205,82.67939,0,Primary Health Centre,Odisha,Nabarangapur ,Tentulikhunti ,
21796,Kunduli,764036,18.60765,82.89747,0,SubCentre,Odisha,Koraput,Similiguda ,
21851,Patalipank,754141,20.37532,86.54719,0,SubCentre,Odisha,Kendrapara ,Mahakalapada ,
21852,TUREINIKTIMAL,768227,21.71668,84.40327,0,Primary Health Centre,Odisha,Sambalpur,Kochinda P.S.,
21857,TAMPASARA SC,768102,21.3245,83.8636,0,SubCentre,Odisha,Bargarh,Attabira,
21860,GANJAM,761026,19.38797,85.05505,0,Primary Health Centre,Odisha,Ganjam,RAMBHA ,
21888,BATIGHAR,754224,20.33818,86.74355,0,Primary Health Centre,Odisha,Kendrapara ,Mahakalapada ,
21926,KANAMANA SC,761045,19.32333,84.96152,0,SubCentre,Odisha,Ganjam,CHHATRAPUR ,
21958,SC Salimi,764044,18.61092,82.06459,0,SubCentre,Odisha,Malkangiri  ,Mathili ,
22022,SC Chandili,764071,19.38466,82.60864,0,SubCentre,Odisha,Nabarangapur ,Paparahandi ,
22023,RAMPUR,767045,21.09901,83.69378,0,Primary Health Centre,Odisha,Sonapur  ,Dunguripali ,
22046,Randiva SC,761016,19.14231,84.25464,0,SubCentre,Odisha,Gajapati,Ramagiri,
22057,SC Antipara,764077,19.81953,82.51459,0,SubCentre,Odisha,Nabarangapur ,Chandahandi ,
22066,RALAB SC,761101,19.47042,84.79838,0,SubCentre,Odisha,Ganjam,HINJILI ,
22117,DHENKIRENJIA,757023,21.94537,86.87917,0,SubCentre,Odisha,Mayurbhanj,Baripada Town P.S.,
22177,GUMAGARH,762029,20.36287,84.26924,0,Community Health Center,Odisha,Kandhamal,Phulabani Town  ,
22199,Birbira,770022,22.07191,84.20122,0,SubCentre,Odisha,Sundargarh,Sundargarh  P.S.  ,
22202,SC Ibrisingh,754139,20.21441,86.36336,0,SubCentre,Odisha,Jagatsinghapur ,Tirtol P.S. ,
22210,DEOGAON,768113,21.21711,83.92013,0,SubCentre,Odisha,Sambalpur,Dhama P.S.,
22221,MALAHUNKA,754140,20.30664,86.60765,0,Primary Health Centre,Odisha,Jagatsinghapur ,Paradip P.S. ,
22246,Badapalaspal SC,758079,21.2184,85.78638,0,SubCentre,Odisha,Kendujhar,Harichandanpur P.S.,
22247,SC-Agula,765020,19.93877,83.46644,0,SubCentre,Odisha,Rayagada  ,Muniguda ,
22307,CHASANGARA,752031,19.737964,85.160439,0,Primary Health Centre,Odisha,Khordha ,Balugaon ,
22328,Manapur,754037,20.39713,85.18062,0,SubCentre,Odisha,Cuttack,Narasinghpur ,
22364,Berhampur,754112,20.42198,85.92206,0,SubCentre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
22375,Anandapur PHC,758021,21.2058,86.14752,0,Primary Health Centre,Odisha,Kendujhar,Anandapur P.S.,
22418,BALISIRA CHC,761115,19.69735,84.63779,0,Community Health Center,Odisha,Ganjam,ASIKA ,
22425,DEULIA SC,757026,21.6745,86.76396,0,SubCentre,Odisha,Mayurbhanj,Barsahi P.S.,
22438,SC Singhapur,754114,20.29902,86.14393,0,SubCentre,Odisha,Jagatsinghapur ,Jagatsinghapur P.S.,
22449,Puincha,754008,20.28029,85.41981,0,SubCentre,Odisha,Cuttack,Banki  ,
22454,BADSOLE SC,757049,21.9182,86.64072,0,SubCentre,Odisha,Mayurbhanj,Baripada Sadar P.S.,
22556,Parjanga (Main) SC,759120,20.91959,85.32557,0,SubCentre,Odisha,Dhenkanal,Parajang ,
22566,Pindapathar,768224,22.1363,84.39278,0,SubCentre,Odisha,Sambalpur,Govindpur P.S.,
22568,DUAJHAR,766118,20.23256,82.75264,0,Primary Health Centre,Odisha,Nuapada  ,Khariar ,
22642,Badahantuad,752031,19.787946,85.175114,0,SubCentre,Odisha,Khordha ,Banapur ,
22665,Kurabeda PHC(N),764074,19.8244,82.01807,0,Primary Health Centre,Odisha,Nabarangapur ,Raighar ,
22670,KARLIPATNA,754223,20.45272,86.36023,0,Primary Health Centre,Odisha,Kendrapara ,Marsaghai ,
22693,Tumula SC,761207,19.04577,84.01112,0,SubCentre,Odisha,Gajapati,Serango,
22801,SC Puintala,767002,20.71603,83.51669,0,SubCentre,Odisha,Balangir,Balangir ,
22826,Telighana,770018,22.21967,84.4277,0,SubCentre,Odisha,Sundargarh,Kutra P.S.,
22841,Bangore SC,758078,21.25466,86.32594,0,SubCentre,Odisha,Kendujhar,Nandipada P.S.,
22859,Dongajore,768224,22.12584,84.47997,0,SubCentre,Odisha,Sambalpur,Govindpur P.S.,
22868,BISSAMCUTTACK,765019,19.5163,83.50848,0,Community Health Center,Odisha,Rayagada  ,Bishamakatak,
22886,Marlaba SC,,19.0185,84.13029,0,SubCentre,Odisha,Gajapati,Garabandha,
22895,Panisapada SC,757055,21.77321,87.11792,0,SubCentre,Odisha,Baleshwar,Basta P.S. ,
22911,KUSALDA SC,757085,21.63062,86.66427,0,SubCentre,Odisha,Mayurbhanj,Khunta P.S.,
22918,SC Hatbanpur,754210,20.48344,86.34811,0,SubCentre,Odisha,Kendrapara ,Derabish ,
22964,KUPATI SC,,20.1439,84.51879,0,SubCentre,Odisha,Ganjam,BHANJANAGAR ,
22974,Balanda SC,752094,20.18939,84.96136,0,SubCentre,Odisha,Nayagarh  ,Nuagaon ,
23027,Sargipalli,770021,22.059,83.9195,0,SubCentre,Odisha,Sundargarh,Lephripara P.S.,
23057,TABADA,768033,21.26365,83.29905,0,Primary Health Centre,Odisha,Bargarh,Melchhamunda,
23080,Sogar SC,759026,20.76676,85.59835,0,SubCentre,Odisha,Dhenkanal,Kamakshyanagar ,
23086,SC Jhankarpali,767025,20.66005,83.16948,0,SubCentre,Odisha,Balangir,Patnagarh ,
23143,Panchupali,756024,21.56879,87.19945,0,SubCentre,Odisha,Baleshwar,Singla P.S. ,
23156,GANIA CHC,752085,20.40199,85.05054,0,Community Health Center,Odisha,Nayagarh  ,Gania ,
23165,Saleikena SC,758084,21.42469,85.38034,0,SubCentre,Odisha,Kendujhar,Telkoi P.S.,
23215,SC (MAIN) KHARIAR ROAD,766104,20.89191,82.50769,0,SubCentre,Odisha,Nuapada  ,Nuapada,
23237,DHARAMPURA SC,757084,21.99994,86.9227,0,SubCentre,Odisha,Mayurbhanj,Suliapada P.S.,
23253,BARADIHI SC,757087,21.59919,86.67052,0,SubCentre,Odisha,Mayurbhanj,Khunta P.S.,
23299,Tentalaposi SC,758033,21.35922,85.73639,0,SubCentre,Odisha,Kendujhar,Harichandanpur P.S.,
23317,Urladani SC,766102,20.13918,83.63681,0,SubCentre,Odisha,Kalahandi,Madanpur Rampur ,
23408,Surli,764058,19.1042,82.23389,0,SubCentre,Odisha,Koraput,Kotpad ,
23416,SC Patrapur,754218,20.61406,86.6066,0,SubCentre,Odisha,Kendrapara ,Aali ,
23444,SC Tunnel Camp,,0,0,0,SubCentre,Odisha,Malkangiri  ,Malkangiri ,
23481,JHALIAGOCHHA SC,,20.09717,84.54831,0,SubCentre,Odisha,Ganjam,BHANJANAGAR ,
23508,JAMUMAL,768107,21.61772,84.35148,0,SubCentre,Odisha,Sambalpur,Jamankira P.S.,
23555,SN Purgoda SC,758019,21.36597,85.48832,0,SubCentre,Odisha,Kendujhar,Telkoi P.S.,
23557,CHICHINDA SC,768104,21.21095,83.79169,0,SubCentre,Odisha,Bargarh,Bheden,
23578,Dhobsila SC,756045,21.49355,86.79997,0,SubCentre,Odisha,Baleshwar,Nilagiri P.S. ,
23593,SC ALANDA,767035,20.25298,82.97809,0,SubCentre,Odisha,Balangir,Bangomunda ,
23594,TAMIAN,767025,20.78312,83.23226,0,Primary Health Centre,Odisha,Balangir,Patnagarh ,
23617,BHURSANI SC,757086,22.189184,86.704416,0,SubCentre,Odisha,Mayurbhanj,Jharpokharia P.S.,
23639,RAMACHANDRAPUR,755004,20.73983,86.41982,0,Primary Health Centre,Odisha,Jajapur  ,Binjharpur P.S. (P),
23655,SC Kaliaguda,764044,18.57,82.07,0,SubCentre,Odisha,Malkangiri  ,Mathili ,
23676,Malandapur SC,755043,20.87069,86.23818,0,SubCentre,Odisha,Jajapur  ,Jajpur Sadar P.S. (P) (New),
23733,Sanabarisingh,754031,20.42493,85.38264,0,SubCentre,Odisha,Cuttack,Badamba ,
23745,Ranigada,764056,18.94747,82.6714,0,SubCentre,Odisha,Koraput,Jeypur ,
23811,EKMA,770016,22.29168,84.30923,0,Community Health Center,Odisha,Sundargarh,Baragaon P.S.,
23832,Bichitrapur SC,755001,20.82214,86.32262,0,SubCentre,Odisha,Jajapur  ,Jajpur Sadar P.S. (P) (New),
23858,Greenbadi,762104,19.90051,84.11387,0,SubCentre,Odisha,Kandhamal,Daringbadi,
23874,RANJA SC,759118,21.28353,85.14947,0,SubCentre,Odisha,Anugul  ,Palalahada ,
23886,SORISAKOTHA SC,757017,21.61289,86.87618,0,SubCentre,Odisha,Mayurbhanj,Barsahi P.S.,
23889,SORADA,770035,22.39775,85.01442,0,Others,Odisha,Sundargarh,Hatibari P.S.,
23902,Karandagada,762011,20.25875,84.18,0,SubCentre,Odisha,Kandhamal,Phiringia  ,
23912,GOPALPUR,756044,21.31857,86.82767,0,Community Health Center,Odisha,Baleshwar,Baleshwar (M) P.S.,
23920,SC BANJIPADAR,767066,20.26442,83.23192,0,SubCentre,Odisha,Balangir,Titlagarh ,
23947,Bedapada SC,759019,20.72283,85.40488,0,SubCentre,Odisha,Dhenkanal,Hindol ,
23968,MORANDA,757046,22.36136,86.03748,0,Primary Health Centre,Odisha,Mayurbhanj,Jamda P.S.(New),
23983,UTTAM,768052,21.68223,83.61564,0,SubCentre,Odisha,Bargarh,Ambabhona,
23993,Kayangola SC,755011,20.79183,86.60146,0,SubCentre,Odisha,Jajapur  ,Mangalpur P.S. ,
23997,SOSO SC,757046,22.36141,86.11484,0,SubCentre,Odisha,Mayurbhanj,Bahalda P.S.,
24003,Jhaliadihi,770043,21.97762,84.53076,0,SubCentre,Odisha,Sundargarh,Gurundia P.S.,
24034,TIMANPUR,766108,20.1572943,82.5689254,0,Primary Health Centre,Odisha,Nuapada  ,Sinapali ,
24061,RASOLA,759021,20.6257,85.32392,0,Primary Health Centre,Odisha,Dhenkanal,Hindol ,
24064,Chadeiapalli SC,752089,20.00126,85.07226,0,SubCentre,Odisha,Nayagarh  ,Odagaon ,
24092,Geltua SC,756113,21.08338,86.48298,0,SubCentre,Odisha,Bhadrak,Bhadrak Rural P.S. ,
24098,BAXIPALLI SC,761002,19.24599,84.88869,0,SubCentre,Odisha,Ganjam,BRAHMAPUR SADAR ,
24154,S.GOPALPUR SC,,19.49212,84.58787,0,SubCentre,Odisha,Ganjam,HINJILI ,
24166,KULDIHA,757042,22.37136,86.27274,0,Primary Health Centre,Odisha,Mayurbhanj,Rairangpur Town P.S.,
24167,JAMUTY SC,757039,21.86765,85.84638,0,SubCentre,Odisha,Mayurbhanj,Raruan P.S.,
24238,Nuagaon,762027,20.39798,84.39453,0,SubCentre,Odisha,Kandhamal,Khajuripada ,
24313,Megha,754029,20.46844,85.70244,0,SubCentre,Odisha,Cuttack,Athagad  ,
24334,Bansajal,768117,21.07662,84.21817,0,SubCentre,Odisha,Sambalpur,Rairakhol P.S.,
24340,SC Bodhei,754160,20.26374,86.36286,0,SubCentre,Odisha,Jagatsinghapur ,Tirtol P.S. ,
24359,SC KAPANI,767026,20.64083,83.00683,0,SubCentre,Odisha,Balangir,Khaprakhol ,
24383,SC Chacha,764076,19.6474,82.43284,0,SubCentre,Odisha,Nabarangapur ,Jharigan  ,
24450,SC Maharajpally,764047,18.17,81.66,0,SubCentre,Odisha,Malkangiri  ,Kalimela ,
24463,JHARBEDA,770070,22.08074,85.00881,0,Primary Health Centre,Odisha,Sundargarh,Koida P.S.,
24519,BHAPUR CHC,752063,20.28395,85.29156,0,Community Health Center,Odisha,Nayagarh  ,Fategarh ,
24526,SC (MAIN) KHARIAR,766107,20.2871,82.76228,0,SubCentre,Odisha,Nuapada  ,Khariar ,
24534,Kantipur SC,755012,20.6796,86.42545,0,SubCentre,Odisha,Jajapur  ,Binjharpur P.S. (P),
24544,TANGARPALLI,770011,22.09323,83.947,0,Primary Health Centre,Odisha,Sundargarh,Tangarapali P.S.,
24558,SDH PANPOSH,769004,21.82298,84.95967,0,Sub-District Hospital,Odisha,Sundargarh,Raurkela (M) P.S.,
24565,Patharpura SC,756032,21.69764,87.24749,0,SubCentre,Odisha,Baleshwar,Jaleswar P.S. ,
24572,MANIDA,757020,21.76814,87.01389,0,Primary Health Centre,Odisha,Mayurbhanj,Rasagobindapur P.S.,
24574,B.BOSE SC,757043,22.3329,86.15925,0,SubCentre,Odisha,Mayurbhanj,Bahalda P.S.,
24642,DUMURDIHA SC,757105,22.03249,86.70122,0,SubCentre,Odisha,Mayurbhanj,Koliana P.S.,
24660,BAGEDIA SC,759141,21.10584,84.81835,0,SubCentre,Odisha,Anugul  ,Jarapada ,
24670,Saudia SC,754292,20.66696,86.29102,0,SubCentre,Odisha,Jajapur  ,Badachana P.S. (P),
24693,ATHAGADA PATANA,761044,19.60231,84.81481,0,Primary Health Centre,Odisha,Ganjam,KABISURYANAGAR ,
24722,Tetegagila,770040,21.91319,84.97822,0,SubCentre,Odisha,Sundargarh,Lahunipara P.S.,
24734,BAJRAKOTE,759105,21.21502,85.05153,0,Primary Health Centre,Odisha,Anugul  ,Kaniha,
24777,Baligaon SC,756133,20.79448,86.72021,0,SubCentre,Odisha,Bhadrak,Dhusuri P.S.,
24795,Badaneuli SC,758032,21.77464,85.6949,0,SubCentre,Odisha,Kendujhar,Jhumpura P.S.(P) (New),
24798,Singhari,767016,20.6028,83.65989,0,SubCentre,Odisha,Sonapur  ,Tarbha ,
24812,TARAGAM,764063,19.27721,82.52337,0,SubCentre,Odisha,Nabarangapur ,Nabarangapur,
24828,Jaidega,770033,22.32665,84.65881,0,SubCentre,Odisha,Sundargarh,Biramitrapur P.S.,
24846,SC Tarjanga,754137,20.31086,86.3063,0,SubCentre,Odisha,Jagatsinghapur ,Tirtol P.S. ,
24865,GOURACHANDRAPUR SC,707079,21.46028,86.36238,0,SubCentre,Odisha,Mayurbhanj,Kaptipada P.S.,
24884,BHUTA SARASINGI SC,761018,19.54485,84.87984,0,SubCentre,Odisha,Ganjam,PURUSOTTAMPUR,
24923,MANIABANDHA,752064,20.229865,85.399798,0,Primary Health Centre,Odisha,Khordha ,Bolagad ,
24946,JANHAPADA SC,768027,21.34723,83.73861,0,SubCentre,Odisha,Bargarh,Attabira,
24972,Jungjungle SC,761207,19.03602,83.99108,0,SubCentre,Odisha,Gajapati,Serango,
24976,Chhamundia SC,752085,20.47962,84.93925,0,SubCentre,Odisha,Nayagarh  ,Gania ,
25057,Tangardihi,770075,21.89511,83.80707,0,SubCentre,Odisha,Sundargarh,Hemgir P.S.,
25069,Guneipada,764081,18.57173,82.52111,0,SubCentre,Odisha,Koraput,Machh kund ,
25097,Deula  SC,756036,21.69954,87.44496,0,SubCentre,Odisha,Baleshwar,Kamarda P.S. (New),
25117,Purkunda,768110,21.57858,84.85952,0,SubCentre,Odisha,Debagarh,Barkot P.S.,
25150,MAHANGA,754206,20.55707,86.20087,0,Community Health Center,Odisha,Cuttack,Mahanga ,
25157,SABA SC,761107,19.5578,84.48792,0,SubCentre,Odisha,Ganjam,DHARAKOTE ,
25158,BANDHUMUNDA SC,768029,21.1041,83.50697,0,SubCentre,Odisha,Bargarh,Barapali,
25206,SC-Salimi,765026,19.37515,83.80427,0,SubCentre,Odisha,Rayagada  ,Gudari ,
25229,SC Ganadkipur,754141,20.29124,86.55883,0,SubCentre,Odisha,Jagatsinghapur ,Paradip P.S. ,
25240,S.Majhiguda,764056,19.08919,82.62927,0,SubCentre,Odisha,Koraput,Boriguma ,
25250,Jalanga Gandibed SC,756048,21.2,86.4919,0,SubCentre,Odisha,Baleshwar,Khaira P.S. ,
25263,GOCHHABADI SC,761121,19.95777,84.72172,0,SubCentre,Odisha,Ganjam,JAGANNATH PRASAD ,
25278,SC SIALATI,766106,20.64701,82.56132,0,SubCentre,Odisha,Nuapada  ,Komana ,
25305,PANDIA SC,761043,19.51823,84.83409,0,SubCentre,Odisha,Ganjam,PURUSOTTAMPUR,
25313,NUAGAN SC,757053,22.50767,86.07588,0,SubCentre,Odisha,Mayurbhanj,Tiring P.S.,
25339,Jyotipur PHC,758047,21.89069,85.79083,0,Primary Health Centre,Odisha,Kendujhar,Champua P.S.,
25358,NAIKENPALI,767016,20.8151,83.6811,0,Community Health Center,Odisha,Sonapur  ,Sonapur ,
25367,Jaleswarpur Main SC,756036,21.68087,87.4064,0,SubCentre,Odisha,Baleshwar,Kamarda P.S. (New),
25384,NADPUR,757028,21.66411,86.85345,0,SubCentre,Odisha,Mayurbhanj,Baisinga P.S.,
25402,Sargunamunda,767017,20.87161,83.8068,0,SubCentre,Odisha,Sonapur  ,Sonapur ,
25403,DHANGER SC,768040,21.29771,83.64477,0,SubCentre,Odisha,Bargarh,Bargarh,
25424,SPSashan,754213,20.38283,86.47375,0,SubCentre,Odisha,Kendrapara ,Marsaghai ,
25448,Baragachha,764028,19.08235,82.84233,0,SubCentre,Odisha,Koraput,Dasamantapur ,
25481,DULAKAPATNA,755021,20.95078,86.24183,0,Primary Health Centre,Odisha,Jajapur  ,Jajapur Road P.S.(P) ,
25490,SINDHARIGAON,762103,20.24884,83.94342,0,Primary Health Centre,Odisha,Kandhamal,Baliguda ,
25496,SC Talagaon,754119,20.04408,86.33718,0,SubCentre,Odisha,Jagatsinghapur ,Balikuda P.S. ,
25509,SC Balarampur,754106,20.23307,86.21135,0,SubCentre,Odisha,Jagatsinghapur ,Jagatsinghapur P.S.,
